SNID,PROB_SNNTRAINV19_z_TRAINDES_V19
1298198,0.0230
1255310,0.9998
1281046,0.0000
1282112,0.9997
1325870,0.0000
1964028,0.0019
1250720,0.0000
1256560,0.0000
1279093,0.0000
1303144,0.0000
1324046,0.0000
1298803,0.0000
1247530,0.0000
1934201,0.0000
1315144,0.0000
1337242,0.0000
1906525,0.0000
1254344,0.0000
1840053,1.0000
1257356,1.0000
1876323,0.9999
1255982,0.0000
1286741,0.0000
1931216,0.0000
1562077,1.0000
1705078,0.0000
1320188,0.0000
1705114,0.0000
1616034,0.0055
1878164,0.0000
1291459,0.0000
1370117,0.0000
1250499,0.0000
1303082,0.0000
1347589,0.0000
1335198,0.0000
1770825,0.0005
1255679,0.0000
1260360,0.0000
1263619,0.0000
1283115,0.0080
1291394,0.7495
1312378,0.8935
1913070,0.0000
1318690,0.0000
1931123,0.0000
1312838,0.0000
1310475,0.9993
1342234,0.0000
1328723,0.0000
1318578,0.9955
1274466,0.0000
1255772,0.0000
1255727,0.0080
1295369,0.0000
1338749,0.9993
1248041,0.0000
1291375,0.9956
1332037,0.9995
1293951,1.0000
1277796,0.0000
1303122,0.0000
1259330,0.9933
1291311,0.0000
1399018,0.0000
1349273,0.0000
1249623,0.0000
1906495,0.0000
1296759,0.0000
1403033,0.9999
1291019,0.0000
1336464,1.0000
1249242,0.0000
1370669,0.0000
1314849,0.0000
1530127,0.0000
1297685,0.0000
1924123,0.0000
1770196,0.0233
1305157,0.0000
1260552,0.0074
1294158,0.8717
1775089,0.0000
1346106,0.0000
1860126,0.0000
1331295,0.0000
1294791,0.0000
1334372,0.0000
1895187,0.0000
1302346,0.9990
1251037,0.0000
1891290,0.0000
1262970,0.0000
1715029,0.0000
1311001,1.0000
1297490,0.9999
1977027,0.0000
1444028,1.0000
1305490,0.0000
1273859,0.0000
1254993,0.0000
1898052,0.0000
1849222,0.0000
1332607,0.0000
1252178,0.0000
1905303,0.0000
1280515,0.0000
1916143,1.0000
1288758,0.0000
1780233,0.0000
1259390,0.0000
1246922,0.0000
1340595,0.0151
1296390,0.0000
1852037,0.0000
1254713,0.0000
1310236,0.9994
1897225,0.0000
1278223,0.0000
1258385,0.0000
1310367,1.0000
1246576,0.0000
1260453,0.0000
1300988,0.0000
1251381,0.9974
1905310,0.0000
1933112,0.0000
1247283,0.0000
1325606,0.0000
1293434,0.0000
1295315,1.0000
1308936,0.0000
1783045,0.0101
1297342,0.0000
1776342,0.0000
1335262,0.9083
1259471,0.0000
1883100,0.0000
1861214,0.9068
1248890,0.0002
1341008,0.0000
1250477,0.0000
1259784,0.9997
1835028,0.0000
1952054,0.0000
1381027,0.0004
1815029,0.0010
1289485,0.0000
1294628,0.0013
1275311,0.0000
1901899,0.6693
1273313,0.0000
1294991,0.0000
1333403,0.4321
1300386,0.0000
1273034,0.0000
1249952,0.1157
1327334,0.9996
1921523,0.0375
1286403,0.0000
1434102,0.0000
1366579,0.0000
1280340,0.0000
1345776,0.0000
1302928,0.0000
1936125,1.0000
1347747,0.0000
1810058,0.0000
1338099,0.0051
1946153,0.0000
1333469,0.0000
1259948,0.0083
1322868,0.0000
1340998,0.0000
1770670,0.0000
1655081,0.0000
1366205,0.0000
1307706,0.0000
1335808,0.0000
1248802,0.0000
1402033,0.4410
1280982,0.9346
1317552,0.0000
1336707,0.0000
1376153,0.0000
1955033,0.0011
1897123,0.0000
1285769,0.0000
1255672,0.0000
1290267,0.0000
1338144,0.0001
1317707,0.0000
1254326,0.0852
1282079,0.0000
1901383,0.3000
1312971,0.0000
1340491,0.0000
1286077,0.0000
1306465,0.0000
1894091,0.0000
1333171,0.0000
1927254,0.9993
1316213,0.0000
1325420,0.0000
1294567,0.0068
1311921,0.9996
1338503,0.0000
1383060,0.0000
1311062,0.0000
1644290,1.0000
1312909,0.0000
1319794,0.0000
1780247,0.0005
1879394,0.0000
1323970,0.0000
1370821,0.0000
1850547,0.0000
1248577,0.0000
1307606,0.0000
1263272,0.0000
1660135,0.0000
1973032,0.0000
1338743,0.0003
1776223,0.0000
1293339,0.0000
1333725,0.0000
1325789,0.9847
1247221,0.0000
1249704,0.0000
1892067,0.9985
1298570,0.0000
1431232,0.0000
1303910,0.7429
1930070,0.0000
1900746,0.4845
1901113,0.0000
1366220,0.0000
1890042,0.0000
1298641,0.0000
1862312,0.0000
1256680,0.9999
1963027,0.0000
1344042,0.0000
1326522,0.6949
1340848,0.0000
1880611,0.3413
1293141,0.0008
1340839,0.0000
1574019,0.9998
1279364,0.0000
1290002,0.0000
1847325,0.0000
1640033,0.0000
1249525,0.0000
1258404,0.0000
1260333,0.0000
1252941,0.0009
1291031,0.0000
1302415,0.0000
1430221,0.0000
1382042,0.0000
1297270,0.0037
1880178,0.0000
1562143,0.0000
1635048,0.0000
1381059,0.0000
1332738,0.0188
1324603,0.0000
1247557,0.0000
1618039,0.0000
1613078,0.0000
1876620,0.0000
1347766,0.9595
1658033,0.0000
1282150,0.0000
1311066,0.0000
1297786,0.0000
1265718,0.9998
1380194,0.0004
1326229,0.9990
1246438,0.0000
1293807,0.0000
1278489,0.0000
1316487,0.9996
1247237,0.0000
1595020,0.0000
1311362,0.0027
1342928,0.0000
1699125,0.0000
1348599,0.0002
1289434,0.0000
1291639,0.9816
1289916,0.0000
1742023,0.0037
1334707,1.0000
1854278,0.5025
1338937,0.8895
1354093,0.0000
1528050,0.0001
1249431,0.0039
1331707,0.9991
1448054,0.0000
1344503,0.0000
1879525,0.0000
1448094,0.0000
1267593,0.9929
1278162,0.0000
1258475,0.0000
1304355,0.0000
1461089,0.0000
1311037,0.0000
1282256,0.0000
1655230,0.0000
1336003,0.0000
1279373,0.0083
1305240,0.0000
1253690,0.0000
1323758,0.2889
1644083,0.0000
1291700,0.0000
1940121,0.0000
1266025,0.0000
1250610,0.0000
1283129,0.0000
1644322,0.0000
1653204,0.0000
1368530,0.9999
1299234,0.0001
1290763,0.0000
1962101,0.0000
1946315,0.0000
1833321,0.9987
1901259,0.0000
1861202,0.0000
1255626,0.0000
1277958,0.0000
1979065,0.0000
1253411,0.0000
1383088,0.0000
1557021,0.0000
1894061,0.0000
1951062,0.0000
1330559,0.9996
1290288,0.0000
1263369,1.0000
1938249,0.0000
1512035,0.0000
1487055,0.9900
1349719,0.0000
1334858,0.9662
1250334,0.0000
1900840,0.0000
1322229,0.9981
1264572,0.0000
1578064,0.0000
1257602,1.0000
1349081,0.0000
1347091,0.8707
1289973,0.0000
1645100,0.0000
1956021,0.0000
1699071,0.0000
1347481,0.0000
1299504,0.0000
1287639,0.0000
1265062,0.0000
1326340,0.0000
1247673,0.0000
1260189,0.0000
1837083,0.0000
1783123,0.0001
1266301,0.0000
1299355,0.0000
1255316,0.0000
1853130,0.0000
1901097,0.0000
1302550,0.9982
1334311,0.8556
1255523,0.9997
1284834,0.0000
1277838,0.0000
1276145,0.0000
1898025,0.0000
1335055,0.0000
1291469,0.0000
1376081,0.0000
1319758,0.0000
1277187,0.0000
1264083,1.0000
1876591,0.0000
1290161,0.9953
1259505,0.0000
1900856,1.0000
1248820,0.0001
1339387,0.0000
1283149,0.0000
1366196,0.0000
1297276,0.0000
1336620,0.0000
1368520,0.0000
1248005,0.0000
1346380,0.0000
1262610,0.0000
1283178,0.0000
1257756,0.9986
1253254,0.0000
1291149,0.0112
1246878,0.0000
1604031,0.0002
1277893,0.0000
1861451,0.5468
1246299,0.0000
1290060,0.0000
1370297,0.0000
1332522,0.0002
1289976,0.9841
1313230,1.0000
1305384,0.6181
1256143,0.0000
1910206,0.0000
1261324,0.0000
1341135,0.0000
1289574,0.0000
1255604,0.0000
1387140,0.0000
1279974,0.0000
1289445,0.0000
1862171,0.5174
1657073,0.0000
1283740,0.0000
1340419,0.0002
1641375,0.0000
1657045,0.0000
1783046,0.0000
1273068,0.0000
1249350,0.0000
1410046,0.0000
1266989,0.0000
1339417,0.0000
1320259,0.0000
1257813,0.0000
1326166,0.0042
1296321,1.0000
1251171,0.0000
1883268,0.0000
1282984,0.0000
1266657,0.9975
1433032,0.0000
1897042,0.0001
1312885,0.0001
1492039,0.0000
1256126,0.0000
1777124,0.9999
1312308,0.9979
1345578,0.0000
1249487,0.0000
1253980,0.0000
1262189,0.0000
1409038,0.0000
1431096,1.0000
1891093,0.0000
1879414,1.0000
1390213,0.0000
1578053,0.0000
1310222,0.0000
1339321,0.0000
1280919,0.0000
1281492,0.0000
1291007,0.0000
1959023,0.0000
1881018,0.0000
1331367,0.9965
1262550,1.0000
1776349,0.0000
1300101,0.0000
1305904,0.0010
1294802,0.0000
1278769,0.0000
1254614,0.0000
1407075,0.0012
1281030,0.0000
1295685,0.9859
1339402,0.0001
1281085,0.0000
1309584,0.0000
1283286,0.0000
1267091,0.0000
1246895,0.0000
1308751,0.0002
1273338,0.0000
1246945,0.0000
1265405,0.0000
1449057,0.0000
1776235,0.0000
1253324,0.0000
1257515,0.0000
1277114,0.0000
1663020,0.0000
1309190,0.0000
1295279,0.0000
1938188,0.0000
1878740,0.0069
1290751,0.0000
1308579,0.0000
1388101,0.0088
1916193,0.6595
1909320,0.0000
1291885,0.0000
1934099,0.0000
1817249,0.0000
1250605,0.0000
1253857,0.9998
1291638,0.0000
1890073,0.0003
1255192,0.9924
1282971,0.0000
1255161,0.0000
1253021,0.0000
