,CID,PROB_SNN_noz_singlemodel,PROB_SNN_noz_ensemble
0,1366121,0.9999993,0.99999887
3,1366149,0.9975903,0.9970728
4,1366152,0.9999982,0.99998015
6,1366175,0.99979967,0.9996293
8,1366179,0.993547,0.9774483
10,1366187,0.97915685,0.99369586
14,1366195,0.9999995,0.99999917
19,1366237,1.0,0.9999999
21,1366243,0.9999999,0.9993615
23,1366273,0.45865735,0.7424745
24,1366280,0.99656665,0.98343736
29,1366304,0.9815269,0.947875
37,1366369,0.62256855,0.51730025
38,1366373,0.882656,0.80878925
40,1366403,0.999432,0.99908733
41,1366406,0.9999901,0.9999937
42,1366410,0.9058017,0.9058687
44,1366415,0.9887524,0.9170841
45,1366436,1.0,1.0
48,1366475,0.9999981,0.9999981
49,1366482,1.0,1.0
51,1366491,0.99451065,0.99084425
52,1366501,0.99951863,0.99929965
54,1366514,0.9998565,0.99994624
55,1366516,0.999856,0.99970615
56,1366527,0.5442943,0.62007797
59,1366551,0.93147874,0.9161409
60,1366557,0.9992804,0.9986936
61,1366564,0.95174867,0.92117214
63,1366578,0.97421074,0.9803778
64,1366579,0.51031375,0.5599469
69,1366592,0.95528406,0.9476821
70,1366593,0.903375,0.8901433
71,1366626,0.99999976,0.99999917
72,1366640,0.96736306,0.9742974
74,1366690,1.0,0.9999999
84,1367115,0.990379,0.99399436
86,1367121,0.9057063,0.9468638
87,1367122,0.99937916,0.99969995
93,1367140,0.99999976,0.99999857
94,1367145,0.99702007,0.9978337
95,1367147,0.9999981,0.99999666
96,1367149,0.9981969,0.9970393
100,1367170,0.9999993,0.99999774
101,1367180,0.99993217,0.9903448
102,1367181,0.99987745,0.9998102
105,1367235,0.9995229,0.99940836
106,1367243,0.9995235,0.9857279
109,1367253,0.99924207,0.9992735
116,1367309,0.98448133,0.9847838
118,1367325,0.99998546,0.9999801
119,1367331,0.9999821,0.9999358
122,1367369,0.99979585,0.99948865
123,1367377,0.93170655,0.95003337
128,1367399,0.9967167,0.99621505
131,1367408,0.9999964,0.9999925
