# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# PROB1A_BEAMS = SNIa BEAMS probability from BBC (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: Gaia16agf  150 0.02509 0.02507 35.25461   0.17920  0.07310  0.05308  1.00000
SN: 2003it      63 0.02510 0.02528 35.07677   0.16600  0.07300  0.04290  1.00000
SN: 2007cq      64 0.02510 0.02604 34.97271   0.13390  0.07300  0.03522  1.00000
SN: AT2017cfc  150 0.02512 0.02403 35.13379   0.12170  0.07300  0.04041  1.00000
SN: 2007sw      65 0.02517 0.02428 35.21648   0.15730  0.07280  0.04233  1.00000
SN: 2002he      63 0.02519 0.02441 35.22977   0.12520  0.07280  0.03594  1.00000
SN: ASASSN-16bq 150 0.02534 0.02493 35.33706   0.11380  0.07240  0.04371  1.00000
SN: PS15ahs    150 0.02534 0.02551 35.29771   0.11070  0.07240  0.03352  1.00000
SN: PSNJ0153424 150 0.02556 0.02565 35.26815   0.15290  0.07170  0.03343  1.00000
SN: SN2017hn   150 0.02557 0.02385 35.20256   0.12260  0.07170  0.03297  1.00000
SN: SN2017ms   150 0.02591 0.02448 35.32653   0.11510  0.07080  0.02895  1.00000
SN: 2005M       64 0.02598 0.02484 35.16036   0.14000  0.07060  0.04370  1.00000
SN: SN2017mf   150 0.02598 0.02561 35.36703   0.11720  0.07060  0.08322  1.00000
SN: 2005ms      64 0.02669 0.02522 35.48988   0.10590  0.06870  0.06023  1.00000
SN: ASASSN-15mf 150 0.02695 0.02604 35.32671   0.10330  0.06810  0.03456  1.00000
SN: ASASSN-17at 150 0.02713 0.02537 35.38053   0.11620  0.06760  0.04640  1.00000
SN: 2007co      64 0.02731 0.02696 35.42084   0.14620  0.06720  0.15030  1.00000
SN: 2007su      65 0.02740 0.02783 35.39676   0.22440  0.06700  0.17620  1.00000
SN: ASASSN-15fa 150 0.02741 0.02734 35.58136   0.14580  0.06700  0.04165  1.00000
SN: 2005na      64 0.02748 0.02665 35.27783   0.09920  0.06680  0.02937  1.00000
SN: 2005eq      64 0.02823 0.02893 35.63599   0.12060  0.06500  0.02726  1.00000
SN: 2003U       63 0.02833 0.02810 35.33516   0.14970  0.06480  0.05100  1.00000
SN: 2009ad      65 0.02844 0.02840 35.46941   0.09680  0.06460  0.04169  1.00000
SN: 2008ar      65 0.02849 0.02617 35.45076   0.09920  0.06450  0.05615  1.00000
SN: AT2017ns   150 0.02849 0.02877 35.47021   0.17750  0.06450  0.08624  1.00000
SN: 2004gs       5 0.02857 0.02740 35.54420   0.16870  0.06430  0.07037  1.00000
SN: SN2017ckx  150 0.02858 0.02716 35.57047   0.13810  0.06430  0.03063  1.00000
SN: 2007is      65 0.02866 0.02953 35.58117   0.12470  0.06410  0.10122  1.00000
SN: 2006qo      64 0.02898 0.02837 35.52866   0.17900  0.06340  0.10411  1.00000
SN: ASASSN-15la 150 0.02902 0.02782 35.17652   0.13670  0.06330  0.03557  1.00000
SN: PS16cvc    150 0.02915 0.02954 35.81122   0.10460  0.06300  0.02668  1.00000
SN: 2003ch      63 0.02919 0.02833 35.74517   0.11440  0.06290  0.05163  1.00000
SN: ASASSN-16ay 150 0.02938 0.02834 35.70490   0.17250  0.06250  0.12342  1.00000
SN: PSNJ0859349 150 0.02938 0.02812 35.54973   0.13560  0.06250  0.11443  1.00000
SN: ASASSN-16fs 150 0.02944 0.02920 35.43814   0.11040  0.06240  0.03884  1.00000
SN: ASASSN-16aj 150 0.02953 0.03075 35.52974   0.11240  0.06220  0.05185  1.00000
