VARNAMES: CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA ERRFLAG_FIT zHEL zHELERR zCMB zCMBERR zHD zHDERR VPEC VPECERR LENSDMU LENSDMUERR MWEBV HOST_NMATCH HOST_NMATCH2 HOST_OBJID HOST_ZPHOT HOST_ZPHOTERR HOST_ZSPEC HOST_ZSPECERR HOST_RA HOST_DEC HOST_ANGSEP HOST_DDLR HOST_CONFUSION HOST_LOGMASS HOST_LOGMASS_ERR HOST_LOGSFR HOST_LOGSFR_ERR HOST_LOGsSFR HOST_LOGsSFR_ERR HOST_COLOR HOST_COLOR_ERR HOST_MAG_g HOST_MAG_i HOST_SBFLUXCAL_g HOST_SBFLUXCAL_i HOST_SBMAG_g HOST_SBMAG_i PKMJDINI SNRMAX1 SNRMAX2 SNRMAX3 SNRSUM BANDLIST PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RADIUS_POP PROB_SCONE PROB_SNIRFV19 PROB_SNNDESCC PROB_SNNJ17 PROB_SNNV19 CUTMASK MU MUMODEL MUERR MUERR_RENORM MUERR_RAW MUERR_VPEC MURES MUPULL M0DIF M0DIFERR CHI2_BEAMS PROBCC_BEAMS biasCor_nevt biasCor_mu biasCorErr_mu biasCor_muCOVSCALE biasCor_muCOVADD IDSAMPLE IZBIN 
SN: 2004ef 0 64 1 VOID 3 0 0.03101 0.00002 0.02978 0.00002 0.03012 0.00086 -9.95500e+01 250 0 0 4.72282e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.82500 0.17200 0.51600 0.88200 -1.03090e+01 0.89861 1.05600 -999 999 999 -999 -999 99 99 53265.6484 90.79475 90.79472 90.79467 1064.45532 bcdehqrst 53264.6641 0.0634 -1.72031e+00 7.66185e-02 5.95034e-02 1.12800e-02 16.57759 1.44722e-02 4.19725e-03 5.59467e-05 2.23894e-04 -1.28317e-06 -4.84577e-07 223 67.54153 1 0.606769 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.54730 35.60443  0.13617  0.1369  0.0269  0.0610 -0.0915 -0.672  0.0344  0.0105 0.26 0.000e+00 6228 -0.1032  0.003  1.000 0.0129 0  0 
SN: 2007nq 2 65 1 VOID 3 0 0.04389 0.00006 0.04275 0.00006 0.04349 0.00087 -2.12650e+02 250 0 0 3.04846e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 11.16300 0.10200 0.86800 10.86800 -1.02950e+01 10.86848 1.55600 -999 999 999 -999 -999 99 99 54400.6719 83.96664 76.85843 76.85841 488.54730 bcdeiABCD 54398.3750 0.2259 -1.99031e+00 0.14314 -6.44862e-02 1.52682e-02 17.09512 2.08175e-02 2.60586e-03 4.99637e-05 8.39995e-04 -2.41112e-06 -5.43474e-07 132 50.48432 1 0.697390 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.36083 36.42236  0.08782  0.0883  0.0367  0.0425 -0.0959 -1.093  0.0344  0.0105 0.12 0.000e+00 6510 -0.0549  0.002  1.000 0.0033 0  0 
SN: 2006az 5 64 1 VOID 3 0 0.03103 0.00001 0.03158 0.00001 0.03201 0.00086 -1.24250e+02 250 0 0 1.19320e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 11.15200 9.10000e-02 -6.50000e-01 9.35000 -1.18020e+01 9.35044 1.62200 -999 999 999 -999 -999 99 99 53825.2852 77.05448 71.88287 63.36833 483.02863 qrst 53826.8086 0.1581 -1.58666e+00 0.12427 -9.94548e-02 1.60831e-02 16.18893 1.92391e-02 6.00385e-03 1.06387e-04 6.07292e-04 -4.21205e-06 -1.38825e-06 117 51.69769 1 0.624199 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.60595 35.73569  0.09571  0.0962  0.0375  0.0575 -0.1641 -1.715  0.0344  0.0105 2.04 0.000e+00 5931 -0.0282  0.002  1.000 0.0032 0  0 
SN: 2007is 6 65 1 VOID 3 0 0.02953 0.00001 0.02953 0.00001 0.02866 0.00086 253.02000 250 0 0 1.74834e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.65100 0.14700 0.63100 0.65500 -1.00200e+01 0.67129 1.09200 -999 999 999 -999 -999 99 99 54368.1016 49.75131 47.61862 45.24919 123.69725 ABCD 54365.5820 0.6777 7.79760e-02 0.23728 -1.11183e-02 2.09726e-02 16.11890 3.44080e-02 6.40383e-03 2.02943e-04 -1.54047e-03 3.61861e-05 -4.20254e-06 14 23.02120 5.99256e-02 0.045267 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.58174 35.49414  0.12342  0.1241  0.0629  0.0641  0.0532  0.431  0.0344  0.0105 -0.20 0.000e+00 8814 -0.0711  0.002  1.000 0.0059 0  0 
SN: 2008gb 7 65 1 VOID 3 0 0.03700 0.00009 0.03641 0.00009 0.03796 0.00087 -4.47190e+02 250 0 0 0.17054 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.38700 4.30000e-02 0.94200 1.88300 -9.44500e+00 1.88349 0.89800 -999 999 999 -999 -999 99 99 54748.5000 34.72214 34.12988 32.25780 135.47934 ABCD 54747.0820 0.5075 -7.29350e-02 0.27633 1.83281e-03 2.01905e-02 16.80286 4.12622e-02 3.41080e-03 1.29623e-04 7.99939e-04 4.52354e-06 -1.85007e-06 44 18.73031 0.99970 0.025068 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.20641 36.11545  0.11569  0.1163  0.0536  0.0486  0.0565  0.489  0.0344  0.0105 -0.28 0.000e+00 8814 -0.0779  0.002  1.000 0.0069 0  0 
SN: 2007ux 9 65 1 VOID 3 0 0.03070 0.00001 0.03183 0.00001 0.03264 0.00086 -2.33210e+02 250 0 0 3.86548e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.18900 7.70000e-02 -7.00000e-03 9.99300 -1.01960e+01 9.99330 1.40200 -999 999 999 -999 -999 99 99 54468.7617 83.96690 80.40179 76.85851 441.35651 bcdeiABCD 54465.1211 0.3551 -2.95535e+00 0.17299 0.10854 2.04157e-02 17.04465 3.17933e-02 2.72985e-03 7.99375e-05 4.96371e-04 4.06514e-07 -1.13987e-06 106 59.10109 0.99994 1.049457 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.67592 35.77700  0.15593  0.1568  0.0505  0.0564 -0.1355 -0.869  0.0344  0.0105 0.83 0.000e+00  510 -0.1273  0.017  1.000 0.0173 0  0 
SN: 2002hd 12 63 1 VOID 3 0 0.03049 0.00015 0.03154 0.00015 0.03134 0.00087 57.72000 250 0 0 3.26971e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 11.14400 0.11700 0.73300 10.73300 -1.04110e+01 10.73364 1.55000 -999 999 999 -999 -999 99 99 52579.4766 77.05212 71.88383 67.36084 230.12857 vwxy 52575.1406 0.7072 2.08871 0.80077 0.11703 3.54758e-02 16.57841 4.80208e-02 4.19405e-03 1.85498e-04 2.33515e-02 -9.14137e-05 -4.48447e-06 15 26.33920 3.46050e-02 0.798072 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.00315 35.68895  0.17813  0.1791  0.0944  0.0587  0.2798  1.571  0.0344  0.0105 2.81 0.000e+00  912 -0.0968  0.012  1.000 0.0181 0  0 
SN: 2006is 18 64 1 VOID 3 0 0.03140 0.00009 0.03149 0.00009 0.03071 0.00086 228.09000 250 0 0 2.89656e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 9.24300 1.60000e-02 -10 0 -1.92430e+01 1.60000e-02 2.28600 -999 999 999 -999 -999 99 99 54008.8984 93.81402 93.81394 93.81390 544.88824 bcdeiqrst 54006.5078 0.3609 2.11992 0.15586 -8.58372e-02 1.46664e-02 15.79149 2.35590e-02 8.65776e-03 1.87861e-04 3.50586e-04 -2.24904e-06 -1.78125e-06 80 59.47550 0.95843 0.762369 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.72373 35.64708  0.11155  0.1121  0.0412  0.0599  0.0422  0.379  0.0344  0.0105 -0.45 0.000e+00  918 0.0057  0.007  1.000 0.0059 0  0 
SN: 2004gu 21 5 1 VOID 3 0 0.04558 0.00002 0.04670 0.00002 0.04664 0.00087 18.53000 250 0 0 2.28294e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.21900 0.22400 8.20000e-02 10.08200 -1.01370e+01 10.08449 1.47500 -999 999 999 -999 -999 99 99 53363.8594 80.40163 80.40141 73.40060 613.01337 bcdeh 53363.1172 0.1470 1.43888 7.88511e-02 9.41896e-02 1.11380e-02 17.14525 1.24896e-02 2.48829e-03 2.86236e-05 9.32115e-05 -3.15402e-07 -2.43777e-07 122 96.04539 0.96021 0.573251 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.54971 36.57613  0.13079  0.1315  0.0291  0.0397 -0.0556 -0.425  0.0292  0.0136 -0.09 0.000e+00 1998 -0.1143  0.006  1.000 0.0134 0  1 
SN: 2005eq 25 64 1 VOID 3 0 0.02893 0.00001 0.02831 0.00001 0.02823 0.00086 23.08000 250 0 0 6.36272e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.61700 8.40000e-02 0.85800 0.69400 -9.75900e+00 0.69907 1.03000 -999 999 999 -999 -999 99 99 53650.4180 87.46832 87.46777 87.46721 837.80145 bcdehqrst 53655.1328 0.0993 1.48957 6.62928e-02 1.68797e-02 9.62531e-03 16.02149 1.60902e-02 7.00494e-03 1.03810e-04 1.18759e-04 -1.17142e-06 -7.39606e-07 180 101.42544 1 0.499700 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.63531 35.46027  0.11950  0.1201  0.0227  0.0650  0.1406  1.177  0.0344  0.0105 0.93 0.000e+00 4190 -0.0720  0.004  1.000 0.0083 0  0 
