CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD
1246275,1246275,10,0,0.24651,0.00100,0.24605,0.00100,0.24605,0.00160,0.00,300.00,0.01,0.2465,0.001,54.647240000000004,-26.401072999999997,0.839,0.99,9.66,0.02,0.47,-999.00,56530.5000,0.7827,0.1846,0.2370,-0.1301,0.0187,20.8880,0.0403,21.2706,7.9211E-05,2.9420E-06,-0.0004,0.0000,-0.0000,35,0.9702,0.9902,0.8486,1.0000,0.9999,1.0000,40.5938,0.0968,0.0000,0.0341,1.0000,0.0050
1246281,1246281,10,0,0.33600,0.00100,0.33549,0.00100,0.33549,0.00167,0.00,300.00,0.01,0.336,0.001,53.726333999999994,-27.622108,2.935,2.77,10.62,0.02,0.52,-999.00,56548.6211,0.2129,0.3759,0.1956,0.0297,0.0164,21.8672,0.0222,21.9031,3.2146E-05,6.5804E-07,0.0011,-0.0000,-0.0000,49,0.0097,0.9432,1.0000,1.0000,0.9999,1.0000,41.2263,0.1360,0.0000,-0.0492,1.0000,0.0136
1246314,1246314,10,0,0.38388,0.00100,0.38337,0.00100,0.38337,0.00171,0.00,300.00,0.01,0.3839,0.001,54.836571,-26.640257000000002,0.252,0.34,9.62,0.01,0.76,-999.00,56532.7227,1.7661,0.8532,0.4904,0.1389,0.0436,22.6798,0.0740,22.3151,1.5208E-05,1.0365E-06,0.0007,0.0000,-0.0000,34,0.9959,0.9891,0.7823,0.9993,0.9970,0.9998,41.6383,0.2332,0.0000,0.0502,1.0000,0.0348
1246527,1246527,10,0,0.32184,0.00100,0.32078,0.00100,0.32078,0.00166,0.00,300.00,0.02,0.3218,0.001,36.019295,-5.015696,2.42,1.17,11.12,0.02,1.52,-999.00,56550.9062,0.1914,-0.1551,0.1762,0.0529,0.0180,21.9960,0.0246,21.8759,2.8549E-05,6.4607E-07,0.0010,-0.0000,-0.0000,32,0.9058,0.9757,1.0000,0.9997,0.9998,1.0000,41.1991,0.1503,0.0000,-0.0511,1.0000,0.0173
1246529,1246529,10,0,0.49797,0.00100,0.49677,0.00100,0.49677,0.00180,0.00,300.00,0.03,0.498,0.001,36.114048,-4.9438949999999995,0.777,0.34,10.56,0.01,1.04,-999.00,56535.4141,1.6142,0.7135,0.4157,0.0220,0.0377,22.7104,0.0542,22.8239,1.4786E-05,7.3755E-07,-0.0037,0.0000,-0.0000,23,0.9922,0.9549,0.9407,0.9996,0.9993,1.0000,42.1471,0.1618,0.0000,-0.0485,1.0000,0.0095
1246626,1246626,10,0,0.39392,0.00100,0.39282,0.00100,0.39282,0.00172,0.00,300.00,0.02,0.3939,0.001,37.306267,-4.334408,1.941,1.40,10.65,0.01,0.74,-999.00,56552.9453,0.2486,-0.5264,0.2678,0.2418,0.0347,22.9013,0.0476,22.1938,1.2402E-05,5.4325E-07,0.0043,-0.0000,-0.0000,30,0.0558,0.8059,0.6451,0.9998,0.9973,0.9999,41.5171,0.2060,0.0000,-0.1123,1.0000,0.0342
1246650,1246650,10,0,0.91042,0.00100,0.90888,0.00100,0.90888,0.00216,0.00,300.00,0.02,0.9104,0.001,35.909572999999995,-5.107671,3.222,2.18,11.21,0.01,1.38,-999.00,56548.4219,1.2615,-0.4507,0.8614,-0.0251,0.1290,24.4779,0.0652,24.6581,2.9030E-06,1.7438E-07,0.0361,-0.0000,-0.0000,23,0.8830,0.9793,0.9350,0.9999,0.9984,0.9996,43.9813,0.1744,0.0000,-0.1558,0.1810,0.0000
1246717,1246717,10,0,0.53500,0.00100,0.53378,0.00100,0.53378,0.00183,0.00,300.00,0.02,0.535,0.001,36.880340999999994,-4.616017,0.286,0.41,8.91,0.01,0.07,-999.00,56530.5352,1.9802,-0.0124,0.5077,0.1265,0.0561,23.6471,0.0985,23.2941,6.2395E-06,5.6592E-07,0.0042,-0.0000,-0.0000,23,0.0941,0.9041,0.8796,0.9886,0.9608,0.9977,42.6173,0.2676,0.0001,-0.0620,1.0000,0.0343
1246758,1246758,10,0,0.53249,0.00100,0.53127,0.00100,0.53127,0.00183,0.00,300.00,0.02,0.5325,0.001,36.618103000000005,-5.539466,3.177,2.67,9.78,0.01,0.38,-999.00,56546.7227,0.3451,-0.2856,0.2758,0.0131,0.0283,22.8186,0.0333,22.7756,1.3384E-05,4.1001E-07,0.0030,-0.0000,-0.0000,30,0.0161,0.9986,1.0000,0.9999,0.9996,1.0000,42.0988,0.1528,0.0000,-0.0626,1.0000,0.0148
1246791,1246791,10,0,0.83213,0.00100,0.83066,0.00100,0.83066,0.00209,0.00,300.00,0.02,0.8321,0.001,36.319611,-4.575352,1.11,1.47,10.52,0.01,0.86,-999.00,56546.7852,1.1927,-0.7255,0.6933,-0.0412,0.0656,23.8897,0.0525,23.9849,4.9903E-06,2.4134E-07,0.0047,-0.0000,0.0000,20,0.8820,0.8364,0.9808,1.0000,0.9994,0.9995,43.3081,0.2020,0.0000,-0.0649,0.5620,0.0000
1246796,1246796,10,0,0.55626,0.00100,0.55502,0.00100,0.55502,0.00185,0.00,300.00,0.02,0.5563,0.001,36.509128999999994,-4.454962999999999,0.109,0.15,9.49,0.02,0.06,-999.00,56545.3086,1.0794,-0.4047,0.6494,-0.1388,0.0833,23.8193,0.0542,24.0978,5.3245E-06,2.6594E-07,0.0067,-0.0000,-0.0000,16,0.2453,0.0145,0.8753,0.0000,0.0008,0.0000,43.4210,280.1536,1.0000,0.0704,1.0000,0.0062
1247022,1247022,10,0,0.35859,0.00100,0.35763,0.00100,0.35763,0.00169,0.00,300.00,0.01,0.3586,0.001,9.673444,-44.391026000000004,0.702,0.61,10.51,0.01,0.78,-999.00,56532.9297,0.6657,-0.0392,0.5053,0.1414,0.0360,22.8561,0.0444,22.5415,1.2929E-05,5.2891E-07,0.0059,-0.0000,-0.0000,39,0.6511,0.9823,0.7773,0.9911,0.9995,0.9997,41.8647,0.2009,0.0001,-0.1140,1.0000,0.0244
1247420,1247420,10,0,0.15123,0.00100,0.15026,0.00100,0.15026,0.00152,0.00,300.00,0.02,0.1512,0.001,34.056301,-4.197441,2.057,1.11,10.81,0.03,1.36,-999.00,56547.9453,0.1778,1.0976,0.1926,-0.0500,0.0219,19.5205,0.0246,19.8919,2.7912E-04,6.3282E-06,0.0003,-0.0000,-0.0000,14,0.2508,0.0110,0.6901,0.9991,0.9958,0.9739,39.2151,0.1066,0.0001,-0.0201,1.0000,0.0032
1247537,1247537,10,0,0.45687,0.00100,0.45565,0.00100,0.45565,0.00177,0.00,300.00,0.02,0.4569,0.001,34.025459000000005,-5.010814,1.202,1.17,9.93,0.01,0.41,-999.00,56548.6445,0.4506,0.4041,0.3940,-0.0902,0.0395,22.3813,0.0421,22.6566,2.0021E-05,7.7598E-07,0.0025,-0.0000,-0.0000,34,0.7725,0.9990,0.9917,1.0000,0.9999,1.0000,41.9798,0.1434,0.0000,0.0521,1.0000,0.0035
1247570,1247570,10,0,0.58060,0.00100,0.57927,0.00100,0.57927,0.00187,0.00,300.00,0.02,0.5806,0.001,33.70203,-4.508106,0.342,0.42,9.83,0.02,-0.14,-999.00,56540.0547,1.4230,-0.6688,0.8891,-0.0591,0.0604,22.9986,0.0536,23.1591,1.1339E-05,5.6002E-07,0.0034,-0.0000,-0.0000,34,0.4967,0.9983,0.9860,0.9997,0.9994,1.0000,42.4823,0.1900,0.0000,-0.1026,0.6260,0.0000
1248039,1248039,10,0,0.22666,0.00100,0.22566,0.00100,0.22566,0.00158,0.00,300.00,0.02,0.2267,0.001,34.858189,-6.177236,0.455,0.68,9.37,0.04,1.15,-999.00,56544.5781,0.5193,-1.2181,0.2582,0.0996,0.0223,21.3332,0.0302,20.8536,5.2570E-05,1.4613E-06,0.0011,-0.0000,-0.0000,35,0.0377,0.5532,0.8748,0.9539,0.9994,0.9989,40.1768,0.1902,0.0000,-0.0456,1.0000,0.0301
1248084,1248084,10,0,0.28165,0.00100,0.28063,0.00100,0.28063,0.00163,0.00,300.00,0.02,0.2817,0.001,36.336864,-5.321878,1.113,0.61,11.03,0.01,1.54,-999.00,56555.1758,0.1619,1.1599,0.1796,0.0092,0.0176,21.1797,0.0226,21.3849,6.0550E-05,1.2598E-06,0.0007,-0.0000,-0.0000,26,0.9586,0.9932,1.0000,0.9998,0.9989,0.9999,40.7081,0.1249,0.0000,-0.0285,1.0000,0.0104
1248243,1248243,10,0,0.32489,0.00100,0.32394,0.00100,0.32394,0.00166,0.00,300.00,0.05,0.3249,0.001,42.391346,-0.417613,0.594,0.95,9.19,0.02,0.62,-999.00,56532.9531,0.8409,1.2546,0.3263,-0.0726,0.0194,21.5420,0.0328,21.9192,4.3371E-05,1.3120E-06,0.0004,-0.0000,-0.0000,39,0.2893,0.9995,0.9453,0.9999,1.0000,1.0000,41.2424,0.1327,0.0000,0.0322,1.0000,0.0084
1248441,1248441,10,0,0.24567,0.00100,0.24517,0.00100,0.24517,0.00160,0.00,300.00,0.01,0.2457,0.001,52.136944,-28.186865,0.79,0.68,10.61,0.02,1.34,-999.00,56534.3906,0.8903,-1.8562,0.3256,-0.1052,0.0335,20.9716,0.0695,21.0329,7.3343E-05,4.6938E-06,0.0045,-0.0000,-0.0000,14,0.4311,0.9697,0.6530,0.9939,0.9777,0.9996,40.3561,0.1215,0.0000,-0.0133,1.0000,0.0030
1248677,1248677,10,1,0.35067,0.00100,0.35016,0.00100,0.35016,0.00168,0.00,300.00,0.01,0.3507,0.001,53.64628199999999,-28.126492,1.848,1.75,9.56,0.02,0.36,-999.00,56554.3398,0.1821,1.1766,0.1583,-0.0958,0.0141,21.5552,0.0192,22.0095,4.2847E-05,7.5843E-07,0.0005,-0.0000,-0.0000,48,0.9997,0.9578,1.0000,1.0000,0.9994,1.0000,41.3327,0.1027,0.0000,0.0151,1.0000,0.0060
1248907,1248907,10,1,0.17140,0.00100,0.17053,0.00100,0.17053,0.00154,0.00,300.00,0.01,0.1714,0.001,7.2814820000000005,-43.140976,0.266,0.40,8.44,0.02,0.61,-999.00,56548.3711,0.1338,0.5954,0.1267,0.0124,0.0141,19.8466,0.0191,19.8980,2.0671E-04,3.6344E-06,0.0003,-0.0000,-0.0000,41,0.0081,0.9582,1.0000,1.0000,0.9999,1.0000,39.2212,0.1267,0.0000,-0.0130,1.0000,0.0122
1248925,1248925,10,0,0.34408,0.00100,0.34307,0.00100,0.34307,0.00168,0.00,300.00,0.01,0.3441,0.001,7.489819000000001,-42.731388,0.375,0.55,9.56,0.01,0.67,-999.00,56540.3203,0.4225,-0.1009,0.3379,-0.0439,0.0187,22.0333,0.0229,22.1461,2.7586E-05,5.8278E-07,0.0021,-0.0000,-0.0000,43,0.3485,0.9849,1.0000,1.0000,1.0000,1.0000,41.4693,0.1322,0.0000,-0.0109,1.0000,0.0102
1248936,1248936,10,0,0.57208,0.00100,0.57093,0.00100,0.57093,0.00186,0.00,300.00,0.00,0.5721,0.001,8.161636,-43.461281,0.315,0.55,9.12,0.08,0.47,-999.00,56549.9453,0.6386,-0.8217,0.5915,-0.0804,0.0698,23.2843,0.0641,23.4198,8.7150E-06,5.1442E-07,0.0060,-0.0000,-0.0000,40,0.9761,0.9989,0.9713,1.0000,0.9995,1.0000,42.7430,0.2169,0.0000,-0.0356,0.8560,0.0000
1248962,1248962,10,0,0.48452,0.00100,0.48342,0.00100,0.48342,0.00179,0.00,300.00,0.01,0.4845,0.001,7.808713000000001,-43.090839,0.474,0.68,10.13,0.03,1.41,-999.00,56546.4844,0.4165,-0.0509,0.4472,-0.0628,0.0413,22.6396,0.0434,22.8411,1.5782E-05,6.3073E-07,0.0029,-0.0000,-0.0000,38,0.9211,0.9997,0.9867,1.0000,0.9998,1.0000,42.1643,0.1252,0.0000,0.0049,0.7480,0.0000
1249090,1249090,10,0,0.38724,0.00100,0.38620,0.00100,0.38620,0.00171,0.00,300.00,0.01,0.3872,0.001,8.479261,-42.312588,2.107,1.33,11.23,0.15,1.57,-999.00,56536.0156,0.6012,-1.7659,0.3661,0.0133,0.0479,22.4326,0.0534,22.2478,1.9098E-05,9.3872E-07,0.0029,-0.0000,-0.0000,33,0.6193,0.9442,0.9740,0.9998,0.9999,1.0000,41.5710,0.1641,0.0000,-0.1221,1.0000,0.0097
1249137,1249137,10,0,0.22397,0.00100,0.22305,0.00100,0.22305,0.00158,0.00,300.00,0.01,0.224,0.001,8.135143,-42.49321,0.595,0.62,9.72,0.01,0.75,-999.00,56531.8125,0.2230,0.0983,0.1734,0.0974,0.0188,21.2744,0.0255,20.9138,5.5492E-05,1.3051E-06,0.0010,-0.0000,-0.0000,39,0.8541,0.9855,0.9830,1.0000,0.9997,1.0000,40.2370,0.1897,0.0000,0.0539,1.0000,0.0315
1249178,1249178,10,0,0.76649,0.00100,0.76517,0.00100,0.76517,0.00203,0.00,300.00,0.01,0.7665,0.001,6.957375999999999,-43.081134999999996,0.654,0.72,10.81,0.04,1.06,-999.00,56540.4180,1.4040,0.0411,0.9148,-0.0905,0.0794,23.7669,0.0695,24.1487,5.5880E-06,3.5781E-07,0.0125,-0.0000,0.0000,43,0.0684,0.9812,0.9646,0.9997,0.9949,0.9990,43.4719,0.1542,0.0000,-0.0744,0.2370,0.0000
1249182,1249182,10,0,0.56135,0.00100,0.56017,0.00100,0.56017,0.00185,0.00,300.00,0.01,0.5613,0.001,6.8200970000000005,-42.573879,0.259,0.18,11.15,0.03,1.28,-999.00,56551.8867,0.7783,1.6960,0.7258,0.1316,0.0730,22.8325,0.0665,22.8382,1.3212E-05,8.0904E-07,0.0125,-0.0000,-0.0000,41,0.7836,0.9970,0.5519,1.0000,0.9990,0.9990,42.1614,0.1998,0.0001,-0.1244,0.6760,0.0000
1249209,1249209,10,0,0.48424,0.00100,0.48312,0.00100,0.48312,0.00179,0.00,300.00,0.01,0.4842,0.001,6.96295,-42.385222999999996,0.096,0.14,10.21,0.05,1.25,-999.00,56544.7812,0.6172,0.6302,0.6515,0.0109,0.0499,23.0061,0.0543,23.1416,1.1261E-05,5.6294E-07,0.0058,-0.0000,-0.0000,38,0.6612,0.9999,0.9828,1.0000,0.9999,1.0000,42.4648,0.1662,0.0000,-0.0492,0.8460,0.0000
1249245,1249245,10,0,0.36932,0.00100,0.36834,0.00100,0.36834,0.00170,0.00,300.00,0.01,0.3693,0.001,8.422099000000001,-44.602264,2.348,0.46,11.17,0.01,0.82,-999.00,56548.0664,0.3082,0.0168,0.3161,-0.0184,0.0204,21.8274,0.0327,21.9431,3.3347E-05,1.0035E-06,0.0017,-0.0000,-0.0000,42,0.0728,0.6447,0.9875,0.0069,0.9772,0.3729,41.2663,0.1298,0.0247,-0.0369,1.0000,0.0073
1249264,1249264,10,0,0.55081,0.00100,0.54968,0.00100,0.54968,0.00185,0.00,300.00,0.01,0.5508,0.001,8.18374,-43.873055,0.292,0.35,10.47,0.04,1.31,-999.00,56549.5664,0.4410,-0.6294,0.4137,-0.1832,0.0500,23.0712,0.0466,23.3521,1.0606E-05,4.5555E-07,0.0030,-0.0000,-0.0000,83,0.6156,0.9995,0.7440,1.0000,0.9995,1.0000,42.6753,0.1317,0.0000,0.2078,0.5900,0.0000
1249304,1249304,10,0,0.63802,0.00100,0.63680,0.00100,0.63681,0.00192,0.00,300.00,0.03,0.638,0.001,40.629742,-1.441108,1.543,1.40,10.63,0.04,1.51,-999.00,56540.3750,1.6742,1.4867,0.8963,-0.0323,0.0475,23.1372,0.0433,23.4661,9.9800E-06,3.9767E-07,0.0033,-0.0000,-0.0000,38,0.4062,0.9930,0.9850,0.9972,0.9989,0.9998,42.7893,0.1302,0.0000,0.0297,0.3430,0.0000
1249308,1249308,10,0,0.22896,0.00002,0.22806,0.00002,0.22806,0.00123,0.00,300.00,0.03,0.0,0.0,40.863556,-1.602378,2.532,1.15,11.28,0.03,1.19,-999.00,56541.3320,0.2857,0.2644,0.2552,0.1737,0.0182,21.5855,0.0233,21.1618,4.1669E-05,8.9380E-07,0.0012,-0.0000,-0.0000,38,0.8917,0.0001,0.7776,0.9953,0.3601,0.9666,40.4850,0.1855,0.0008,-0.0566,1.0000,0.0288
1249371,1249371,10,0,0.45191,0.00100,0.45085,0.00100,0.45085,0.00176,0.00,300.00,0.02,0.4519,0.001,41.362904,-0.253585,0.151,0.15,10.68,0.03,0.87,-999.00,56543.0391,0.8488,-0.2244,0.7808,0.0844,0.0851,23.0279,0.0629,22.9500,1.1036E-05,6.3944E-07,0.0036,-0.0000,-0.0000,22,0.8832,0.9982,0.8140,0.9978,0.9983,0.9997,42.2732,0.2722,0.0000,-0.2025,0.9740,0.0000
1249395,1249395,10,0,0.55626,0.00100,0.55513,0.00100,0.55513,0.00185,0.00,300.00,0.03,0.5563,0.001,41.47578,-1.5502559999999999,0.758,0.75,10.54,0.03,1.15,-999.00,56539.2695,1.6992,0.7886,0.8431,-0.1090,0.0482,22.8999,0.0386,23.2223,1.2418E-05,4.4152E-07,-0.0012,-0.0000,-0.0000,37,0.5753,0.9932,0.7242,0.9606,0.9999,1.0000,42.5455,0.1541,0.0000,0.1631,0.5020,0.0000
1249416,1249416,10,0,0.33267,0.00100,0.33169,0.00100,0.33169,0.00167,0.00,300.00,0.03,0.3327,0.001,40.912395000000004,-1.748804,0.415,0.43,10.51,0.01,1.07,-999.00,56540.8086,0.9940,1.3213,0.7739,-0.1364,0.0312,22.7520,0.0444,23.2989,1.4230E-05,5.8170E-07,0.0045,-0.0000,-0.0000,36,0.0015,0.0013,0.3588,0.0000,0.0000,0.0000,42.6221,192.5920,1.0000,0.1097,1.0000,0.0054
