,CID,EXPNUM,MAGCOR_DCR
0,1246281,255449,-0.0026183134758960406
1,1246281,255888,-0.0017238934707838988
2,1246281,238052,-7.3717801992597005e-06
3,1246281,238984,-6.317124680200567e-06
4,1246281,242477,-0.0008999217458193964
5,1246281,243935,-0.0012442295044238641
6,1246281,246077,-9.221526510900195e-05
7,1246281,247953,-0.0007012279806749047
8,1246281,251113,-0.001742813558509078
9,1246281,252743,-0.0011240267804919623
10,1246281,234879,-1.1430374510143155e-05
11,1246281,235362,-4.5715212839884747e-05
12,1246281,230179,-0.00014679377211130332
13,1246281,231593,-2.3457436685566758e-05
14,1246281,233174,-3.773648910013786e-05
15,1246281,255451,-3.2505331657516834e-05
16,1246281,255890,-9.20530804504603e-06
17,1246281,230181,-2.265220332373346e-06
18,1246281,231595,-5.334828479628297e-06
19,1246281,233176,-3.4302692499600877e-07
20,1246281,234881,-9.969786661387133e-06
21,1246281,235364,-3.4542959609465626e-07
22,1246281,238054,-5.6719639739896735e-05
23,1246281,238986,-1.8148395961926376e-06
24,1246281,240536,-2.4222232109529967e-05
25,1246281,242479,-4.439252112740415e-05
26,1246281,243937,-1.1301806107208664e-05
27,1246281,246079,-1.8848674094241126e-05
28,1246281,247955,-1.5461181499708973e-06
29,1246281,251115,-4.598405362855454e-05
30,1246281,252745,-1.2235257283006475e-07
31,1246281,255450,-0.00013887785878980013
32,1246281,255889,-0.00019635121903458568
33,1246281,230180,-5.525823690897384e-05
34,1246281,231594,-1.0046588279626967e-05
35,1246281,233175,-1.2107938977802544e-05
36,1246281,234880,-3.060196426880682e-09
37,1246281,235363,-1.7265791305739668e-05
38,1246281,238053,-1.1684165098081203e-05
39,1246281,238985,-1.2063733637163422e-06
40,1246281,240535,-3.748426787831289e-05
41,1246281,242478,-8.11641456999567e-05
42,1246281,243936,-4.633557232973145e-05
43,1246281,246078,-0.00011630861258350294
44,1246281,247954,-4.360992793011013e-05
45,1246281,251114,-0.0002258845297577107
46,1246281,252744,-8.482636777178697e-05
47,1246281,255452,-7.559019983431666e-05
48,1246281,230182,-1.2986196189705915e-05
49,1246281,231596,-0.0002572148614273422
50,1246281,233177,-4.1479490966948414e-07
51,1246281,234882,-1.5761626724140112e-06
52,1246281,235365,-2.9532555742304723e-06
53,1246281,238055,-8.407173097935286e-05
54,1246281,238987,-6.179077600013931e-05
55,1246281,240537,-3.502694568128917e-05
56,1246281,242480,-2.154019655960171e-06
57,1246281,243938,-3.8718078484779905e-05
58,1246281,247956,-8.291148230330659e-05
59,1246281,251116,-1.4804847410111555e-05
60,1246281,252746,-1.6810092106947615e-05
61,1246430,229374,-0.0006403572011234457
62,1246430,231552,-2.7593975952347283e-05
63,1246430,233184,-0.0007003075371270016
64,1246430,238973,-0.001280256200845871
65,1246430,240547,-0.0024697877192019946
66,1246430,242487,-0.003424302832865543
67,1246430,243945,-0.002157521154101959
68,1246430,246912,-0.0023665281050096847
69,1246430,248307,-0.0019023290917489673
70,1246430,251123,-0.0026111742598650795
71,1246430,252835,-0.0006827396427182182
72,1246430,229739,-1.1144508433272041e-06
73,1246430,231617,-7.92180501690976e-06
74,1246430,233210,-1.511418485309244e-05
75,1246430,238070,-2.623525842437963e-05
76,1246430,239366,-2.1296785168204447e-06
77,1246430,240748,-3.82682945226328e-06
78,1246430,242747,-4.38036855416961e-05
79,1246430,244233,-7.023910806468956e-07
80,1246430,247167,-1.6141886170617047e-05
81,1246430,251152,-2.2262197719111455e-06
82,1246430,253189,-1.9277030135520698e-05
83,1246430,230151,-9.664987945056529e-06
84,1246430,232354,-1.1871323144150336e-05
85,1246430,238099,-0.00012623619604097756
86,1246430,239376,-0.00013032538442251876
87,1246430,240766,-0.00019469995439224286
88,1246430,242763,-3.9456629851525444e-05
89,1246430,244239,-0.00010095547051078546
90,1246430,247175,-1.8157222947118282e-05
91,1246430,251357,-5.968357498037133e-05
92,1246430,229705,-1.8481604051513762e-06
93,1246430,231605,-6.424119436631686e-06
94,1246430,233188,-6.18640642389538e-05
95,1246430,235336,-2.75615284608544e-07
96,1246430,239034,-7.563440000063084e-06
97,1246430,240730,-0.0001006323548519668
98,1246430,242509,-4.417955657391051e-05
99,1246430,243962,-2.0246743598163898e-05
100,1246430,248325,-7.969664168410827e-06
101,1246430,251140,-4.547665194955035e-05
102,1246430,253161,-7.13719121281468e-05
103,1246527,229374,-0.0010861614099553537
104,1246527,231552,-0.0003499055408297537
105,1246527,233184,-9.698306752734946e-05
106,1246527,238973,-2.0861205560755794e-05
107,1246527,240547,-0.0005438945641243224
108,1246527,242487,-0.0010619305313014206
109,1246527,243945,-0.0008567745015768018
110,1246527,246912,-0.0013346589989306399
111,1246527,248307,-0.0011255309639928675
112,1246527,251123,-0.0011781465179176332
113,1246527,252835,-0.00032849811963877505
114,1246527,256559,-0.001611326042465429
115,1246527,229739,-6.888412178125755e-06
116,1246527,233210,-1.3671630282610305e-05
117,1246527,238070,-9.697748878151987e-06
118,1246527,240748,-3.1270165168506507e-06
119,1246527,244233,-2.5631343614489233e-06
120,1246527,247167,-2.8134754004376942e-05
121,1246527,251152,-8.054923553350307e-06
122,1246527,253189,-9.20901560827276e-06
123,1246527,255918,-2.9617476440005664e-05
124,1246527,230151,-4.877332250972178e-05
125,1246527,232354,-0.00014476583381233484
126,1246527,238099,-4.110653979030767e-05
127,1246527,239376,-5.561058149887749e-05
128,1246527,240766,-6.528674999231761e-05
129,1246527,242763,-5.982551941258841e-06
130,1246527,244239,-1.862976087037026e-05
131,1246527,247175,-3.790414931224089e-07
132,1246527,251357,-9.733106490579762e-06
133,1246527,256177,-1.6025098469831447e-05
134,1246527,229705,-1.989276266899992e-06
135,1246527,231605,-1.3296936780199093e-05
136,1246527,235336,-1.9010336788619262e-06
137,1246527,239034,-1.709986151972882e-05
138,1246527,242509,-2.8215185286189983e-05
